feature,coefficient_standardized,absolute_coefficient,odds_ratio_per_sd
evi_iqr,-2.029594819720897,2.029594819720897,0.13138874649381016
bsi_stddev,1.8187351884986924,1.8187351884986924,6.164057146960539
ndvi_iqr,1.5554479091396838,1.5554479091396838,4.737207888744839
ndvi_median,-1.4347931104362968,1.4347931104362968,0.2381646326948712
bsi_iqr,1.2312237797349315,1.2312237797349315,3.4254189305898075
ndmi_median,1.0608471746443235,1.0608471746443235,2.8888172856580043
log_perimeter_m,1.002005504198885,1.002005504198885,2.723738824264749
ndmi_stddev,-0.9381368950849343,0.9381368950849343,0.3913562943856195
ndvi_stddev,-0.7711695540501292,0.7711695540501292,0.462471866046263
evi_median,0.6872378353652027,0.6872378353652027,1.9882161612871563
compactness_raw,0.346166038825335,0.346166038825335,1.413637315011783
ndmi_iqr,-0.3308261169615922,0.3308261169615922,0.7183300635957709
log_area_ha,0.31391596495660273,0.31391596495660273,1.3687747066722968
evi_stddev,-0.24938054213505823,0.24938054213505823,0.7792833667964115
log_n_points,-0.22038536521428279,0.22038536521428279,0.80220959471585
bsi_median,0.15814365557089705,0.15814365557089705,1.1713344513411976
small_candidate_flag,-0.12659124029275443,0.12659124029275443,0.8810937546238273
large_polygon_flag,-0.056126006170276105,0.056126006170276105,0.9454199996311461
log_n_observations,0.05571768113310122,0.05571768113310122,1.0572991461002905
complex_boundary_flag,0.015730421769234556,0.015730421769234556,1.015854796151802
