zone,level,threshold,n,positive_n,negative_n,selected_n,selected_percent,precision,recall,specificity,f1,tn,fp,fn,tp
all_calabria,screening,0.61,406,319,87,326,80.29556650246306,0.8834355828220859,0.9028213166144201,0.5632183908045977,0.8930232558139535,49,38,31,288
all_calabria,high,0.77,406,319,87,279,68.7192118226601,0.931899641577061,0.8150470219435737,0.7816091954022989,0.8695652173913043,68,19,59,260
all_calabria,very_high,0.82,406,319,87,254,62.5615763546798,0.9330708661417323,0.7429467084639498,0.8045977011494253,0.8272251308900525,70,17,82,237
central_calabria,screening,0.61,95,77,18,75,78.94736842105263,0.9333333333333333,0.9090909090909091,0.7222222222222222,0.9210526315789475,13,5,7,70
central_calabria,high,0.77,95,77,18,64,67.36842105263158,0.953125,0.7922077922077922,0.8333333333333334,0.8652482269503546,15,3,16,61
central_calabria,very_high,0.82,95,77,18,58,61.05263157894737,0.9655172413793104,0.7272727272727273,0.8888888888888888,0.8296296296296296,16,2,21,56
north_calabria,screening,0.61,263,208,55,211,80.22813688212928,0.8767772511848341,0.8894230769230769,0.5272727272727272,0.8830548926014319,29,26,23,185
north_calabria,high,0.77,263,208,55,180,68.44106463878326,0.9333333333333333,0.8076923076923077,0.7818181818181819,0.8659793814432989,43,12,40,168
north_calabria,very_high,0.82,263,208,55,164,62.3574144486692,0.9329268292682927,0.7355769230769231,0.8,0.8225806451612904,44,11,55,153
south_calabria,screening,0.61,48,34,14,40,83.33333333333334,0.825,0.9705882352941176,0.5,0.8918918918918919,7,7,1,33
south_calabria,high,0.77,48,34,14,35,72.91666666666666,0.8857142857142857,0.9117647058823529,0.7142857142857143,0.8985507246376812,10,4,3,31
south_calabria,very_high,0.82,48,34,14,32,66.66666666666666,0.875,0.8235294117647058,0.7142857142857143,0.8484848484848485,10,4,6,28
