validation,zone,level,threshold,n,positive_n,negative_n,selected_n,selected_percent,precision,recall,specificity,npv,f1,tn,fp,fn,tp,youden_j
leave_one_zone_out,all_calabria,screening,0.61,406,319,87,309,76.10837438423646,0.8802588996763754,0.8526645768025078,0.5747126436781609,0.5154639175257731,0.8662420382165604,50,37,47,272,0.42737722048066873
leave_one_zone_out,all_calabria,high,0.77,406,319,87,253,62.315270935960584,0.9169960474308301,0.7272727272727273,0.7586206896551724,0.43137254901960786,0.8111888111888113,66,21,87,232,0.48589341692789967
leave_one_zone_out,all_calabria,very_high,0.82,406,319,87,225,55.41871921182266,0.9288888888888889,0.6551724137931034,0.8160919540229885,0.39226519337016574,0.7683823529411764,71,16,110,209,0.47126436781609193
leave_one_zone_out,central_calabria,screening,0.61,95,77,18,69,72.63157894736842,0.927536231884058,0.8311688311688312,0.7222222222222222,0.5,0.8767123287671235,13,5,13,64,0.5533910533910533
leave_one_zone_out,central_calabria,high,0.77,95,77,18,58,61.05263157894737,0.9482758620689655,0.7142857142857143,0.8333333333333334,0.40540540540540543,0.8148148148148149,15,3,22,55,0.5476190476190477
leave_one_zone_out,central_calabria,very_high,0.82,95,77,18,48,50.526315789473685,0.9583333333333334,0.5974025974025974,0.8888888888888888,0.3404255319148936,0.736,16,2,31,46,0.4862914862914862
leave_one_zone_out,north_calabria,screening,0.61,263,208,55,199,75.66539923954373,0.8743718592964824,0.8365384615384616,0.5454545454545454,0.46875,0.8550368550368549,30,25,34,174,0.3819930069930071
leave_one_zone_out,north_calabria,high,0.77,263,208,55,161,61.21673003802282,0.9192546583850931,0.7115384615384616,0.7636363636363637,0.4117647058823529,0.8021680216802167,42,13,60,148,0.47517482517482534
leave_one_zone_out,north_calabria,very_high,0.82,263,208,55,144,54.752851711026615,0.9375,0.6490384615384616,0.8363636363636363,0.3865546218487395,0.7670454545454545,46,9,73,135,0.4854020979020979
leave_one_zone_out,south_calabria,screening,0.61,48,34,14,41,85.41666666666666,0.8292682926829268,1.0,0.5,1.0,0.9066666666666667,7,7,0,34,0.5
leave_one_zone_out,south_calabria,high,0.77,48,34,14,34,70.83333333333334,0.8529411764705882,0.8529411764705882,0.6428571428571429,0.6428571428571429,0.8529411764705882,9,5,5,29,0.4957983193277311
leave_one_zone_out,south_calabria,very_high,0.82,48,34,14,33,68.75,0.8484848484848485,0.8235294117647058,0.6428571428571429,0.6,0.8358208955223881,9,5,6,28,0.46638655462184886
